Production code,Title,Air date,Season,Number in season,Number in series,US viewers (million),Views,IMDB rating
7F01,Two Cars in Every Garage and Three Eyes on Every Fish,1990-01-11,2.0,4,17,26.1,64959.0,8.1
7F08,,1990-11-15,2.0,6,19,25.4,50691.0,8.0
7F06,Bart the Daredevil,1990-06-12,2.0,8,21,26.2,57605.0,
,Bart Gets Hit by a Car,1991-10-01,2.0,10,23,24.8,56486.0,7.8
7F13,Homer vs. Lisa and the 8th Commandment,1991-07-02,2.0,13,26,26.2,58277.0,8.0
7F16,"Oh Brother, Where Art Thou?",1991-02-21,2.0,15,28,,47426.0,8.2
7F17,Old Money,1991-03-28,2.0,17,30,21.2,44331.0,7.6
7F19,Lisa's Substitute,1991-04-25,2.0,19,32,17.7,52770.0,8.5
7F22,Blood Feud,1991-11-07,,22,35,17.3,52829.0,8.0
8F01,Mr. Lisa Goes to Washington,1991-09-26,3.0,2,37,20.2,52098.0,7.7
8F03,Bart the Murderer,1991-10-10,3.0,4,39,,64342.0,8.7
8F05,"Like Father, Like Clown",1991-10-24,3.0,6,41,20.2,45586.0,7.7
8F07,Saturdays of Thunder,1991-11-14,3.0,9,44,24.7,55808.0,7.9
8F09,Burns Verkaufen der Kraftwerk,1991-05-12,3.0,11,46,21.1,55987.0,8.2
8F11,,1992-09-01,3.0,13,48,24.2,58919.0,
8F16,Bart the Lover,1992-02-13,3.0,16,51,20.5,53123.0,8.3
8F15,Separate Vocations,1992-02-27,3.0,18,53,23.7,61508.0,8.2
8F19,Colonel Homer,1992-03-26,3.0,20,55,25.5,46901.0,7.9
8F22,Bart's Friend Falls in Love,1992-07-05,3.0,23,58,19.5,48058.0,7.8
8F24,Kamp Krusty,1992-09-24,4.0,1,60,21.8,67081.0,8.4
9F03,Itchy & Scratchy: The Movie,1992-03-11,4.0,6,65,20.1,55740.0,8.2
9F08,Lisa's First Word,1992-03-12,,10,69,28.6,62070.0,8.5
9F11,Selma's Choice,1993-01-21,4.0,13,72,24.5,56396.0,8.0
7G09,The Call of the Simpsons,1990-02-18,1.0,7,7,27.6,57793.0,7.9
7F12,"One Fish, Two Fish, Blowfish, Blue Fish",1991-01-24,2.0,11,24,24.2,50206.0,8.8
9F20,Marge in Chains,1993-06-05,4.0,21,80,,68692.0,7.7
9F21,Homer's Barbershop Quartet,1993-09-30,5.0,1,82,19.9,58390.0,8.4
1F02,Homer Goes to College,1993-10-14,5.0,3,84,18.1,64802.0,8.6
1F03,Marge on the Lam,1993-04-11,5.0,6,87,21.7,53490.0,8.0
1F06,Boy-Scoutz 'n the Hood,1993-11-18,5.0,8,89,20.1,83238.0,8.7
1F09,Homer the Vigilante,1994-06-01,5.0,11,92,20.1,74673.0,8.2
1F11,Bart Gets Famous,1994-03-02,,12,93,20.0,66267.0,8.1
1F12,Lisa vs. Malibu Stacy,1994-02-17,5.0,14,95,20.5,61715.0,8.2
1F15,Bart Gets an Elephant,1994-03-31,5.0,17,98,17.0,63427.0,7.9
1F21,Lady Bouvier's Lover,1994-12-05,5.0,21,102,15.1,59503.0,7.5
1F22,Bart of Darkness,1994-04-09,6.0,1,104,15.1,65126.0,8.6
2F01,Itchy & Scratchy Land,1994-02-10,6.0,4,107,14.8,72722.0,8.5
2F05,Lisa on Ice,1994-11-13,6.0,8,111,17.9,63564.0,8.4
2F08,Fear of Flying,1994-12-18,6.0,11,114,15.6,61569.0,7.8
2F10,And Maggie Makes Three,1995-01-22,6.0,13,116,17.3,63051.0,8.5
2F12,Homie the Clown,1995-12-02,6.0,15,118,17.6,73123.0,8.5
2F14,Homer vs. Patty and Selma,1995-02-26,6.0,17,120,18.9,60599.0,7.9
2F18,,1995-09-04,6.0,20,123,11.6,62323.0,8.1
2F32,'Round Springfield,1995-04-30,6.0,22,125,12.6,56001.0,8.3
2F22,Lemon of Troy,1995-05-14,6.0,24,127,13.1,70698.0,8.6
2F17,Radioactive Man,1995-09-24,7.0,2,130,15.7,62390.0,8.3
3F02,Bart Sells His Soul,1995-08-10,7.0,4,132,14.8,65333.0,8.7
3F04,Treehouse of Horror VI,1995-10-29,7.0,6,134,19.7,110342.0,8.5
3F07,Marge Be Not Proud,1995-12-17,7.0,11,139,16.7,68970.0,8.3
,Team Homer,1996-07-01,7.0,12,140,16.7,72268.0,8.3
3F12,Bart the Fink,1996-11-02,7.0,15,143,15.0,71230.0,7.7
9F06,,1992-12-11,4.0,8,67,23.1,54557.0,8.2
3F18,22 Short Films About Springfield,1996-04-14,7.0,21,149,10.5,66536.0,8.8
3F20,Much Apu About Nothing,1996-05-05,7.0,23,151,11.3,75618.0,8.0
3F22,Summer of 4 Ft. 2,1996-05-19,7.0,25,153,14.7,65847.0,8.3
4F05,"Burns, Baby Burns",1996-11-17,8.0,4,157,12.6,55497.0,7.7
4F01,Lisa's Date with Density,1996-12-15,8.0,7,160,,60912.0,7.8
3G01,The Springfield Files,1997-12-01,8.0,10,163,20.9,69555.0,9.0
4F08,The Twisted World of Marge Simpson,1997-01-19,8.0,11,164,14.0,71813.0,7.8
4F12,The Itchy & Scratchy & Poochie Show,1997-09-02,8.0,14,167,15.5,58581.0,7.9
4F11,Homer's Phobia,1997-02-16,8.0,15,168,15.3,63355.0,8.9
4F15,Homer vs. the Eighteenth Amendment,1997-03-16,8.0,18,171,14.6,83561.0,8.7
4F16,The Canine Mutiny,1997-04-13,8.0,20,173,,54155.0,7.7
4F18,In Marge We Trust,1997-04-27,8.0,22,175,16.9,59088.0,8.0
4F21,The Secret War of Lisa Simpson,1997-05-18,8.0,25,178,12.7,59196.0,7.8
4F23,The Principal and the Pauper,1997-09-28,9.0,2,180,14.9,48414.0,7.4
5F03,Bart Star,1997-09-11,9.0,6,184,10.6,31033.0,7.7
5F05,Lisa the Skeptic,1997-11-23,9.0,8,186,9.3,22318.0,8.0
5F24,"All Singing, All Dancing",1998-04-01,9.0,11,189,8.9,15780.0,5.1
5F23,The Joy of Sect,1998-08-02,9.0,13,191,9.4,27710.0,8.2
5F13,This Little Wiggy,1998-03-22,9.0,18,196,8.9,20739.0,7.8
5F14,The Trouble with Trillions,1998-05-04,9.0,20,198,7.4,23426.0,7.9
5F09,Trash of the Titans,1998-04-26,9.0,22,200,10.2,26299.0,8.5
5F18,Natural Born Kissers,1998-05-17,9.0,25,203,8.6,53823.0,8.1
5F21,The Wizard of Evergreen Terrace,1998-09-20,10.0,2,205,7.95,53216.0,8.2
AABF01,Treehouse of Horror IX,1998-10-25,10.0,4,207,8.5,83169.0,8.0
AABF05,Mayored to the Mob,1998-12-20,10.0,9,212,8.5,56762.0,8.2
AABF07,Wild Barts Can't Be Broken,1999-01-17,10.0,11,214,8.8,57693.0,7.7
AABF12,Make Room for Lisa,1999-02-28,10.0,16,219,7.6,53449.0,7.5
AABF15,Mom and Pop Art,1999-11-04,10.0,19,222,8.5,47851.0,7.6
AABF17,Monty Can't Buy Me Love,1999-02-05,10.0,21,224,7.26,44242.0,7.2
AABF20,Thirty Minutes over Tokyo,1999-05-16,10.0,23,226,8.0,55947.0,7.9
,Guess Who's Coming to Criticize Dinner?,1999-10-24,11.0,3,229,6.7,46141.0,7.5
AABF19,E-I-E-I-(Annoyed Grunt),1999-07-11,11.0,5,231,8.4,51431.0,7.6
