date,country/IDN Count_Person
1960,877511
1961,900984
1962,925184
1963,950153
1964,975967
1965,100267
1966,103025
1967,105866
1968,10878
1969,111759
1970,114793
1971,11788
1972,121017
1973,1242
1974,127422
1975,130681
1976,133967
1977,137278
1978,140622
1979,14401
1980,147448
1981,150938
1982,154468
1983,158009
1984,161523
1985,164982
1986,168374
1987,171703
1988,174976
1989,178209
1990,181413
1991,184592
1992,18774
1993,190851
1994,193917
1995,196934
1996,199901
1997,202826
1998,205725
1999,208615
2000,211514
2001,214427
2002,217358
2003,220309
2004,223286
2005,226289
2006,229318
2007,232374
2008,23547
2009,238621
2010,241834
2011,245116
2012,248452
2013,251806
2014,255129
2015,258383
2016,261554
2017,264646
2018,267663
